gene	role	obs_name	AD_count	HDBSCAN_cluster	membership_strength
AARS2	partner	10_AARS2_P1P2_ENSG00000124608	382.0	4	0.6118196329549291
AATF	partner	16_AATF_P1P2_ENSG00000275700	1845.0	1	1.0
ADAT3	seed	140_ADAT3_P2_ENSG00000213638	214.0	1	0.8291228379112336
ALKBH5	seed	278_ALKBH5_P1P2_ENSG00000091542	6.0	0	0.0
ALKBH8	seed	281_ALKBH8_P1P2_ENSG00000137760	116.0	7	1.0
ATP11B	partner	640_ATP11B_P1P2_ENSG00000058063	309.0	2	0.97193083554495
BNIP1	partner	862_BNIP1_P1P2_ENSG00000113734	1179.0	9	1.0
BUD23	seed	9798_BUD23_P1P2_ENSG00000071462	251.0	1	0.9071544926962258
CAMLG	partner	1167_CAMLG_P1P2_ENSG00000164615	245.0	9	1.0
CBLL1	partner	1221_CBLL1_P1P2_ENSG00000105879	550.0	5	1.0
CMTR1	seed	1701_CMTR1_P1P2_ENSG00000137200	4194.0	1	0.7543672146046186
CMTR2	seed	1702_CMTR2_P1P2_ENSG00000180917	302.0	8	1.0
COX15	partner	1808_COX15_P1P2_ENSG00000014919	1454.0	0	0.0
CTU1	seed	1956_CTU1_P1P2_ENSG00000142544	184.0	7	1.0
CTU2	partner	1957_CTU2_P1P2_ENSG00000174177	221.0	7	0.9321949583318284
DAP3	partner	2025_DAP3_P1P2_ENSG00000132676	276.0	2	0.9895510407026342
DCP2	seed	2070_DCP2_P1P2_ENSG00000172795	229.0	6	0.9890498014230402
DCPS	seed	2071_DCPS_P1P2_ENSG00000110063	162.0	0	0.0
DDX20	partner	2110_DDX20_P1P2_ENSG00000064703	935.0	3	1.0
DDX21	seed	2111_DDX21_P1P2_ENSG00000165732	1049.0	1	1.0
DDX47	partner	2124_DDX47_P1P2_ENSG00000213782	2050.0	1	1.0
DDX52	partner	2128_DDX52_P1P2_ENSG00000278053	1836.0	1	1.0
DDX56	partner	2132_DDX56_P1P2_ENSG00000136271	1414.0	1	1.0
DIMT1	seed	2226_DIMT1_P1P2_ENSG00000086189	537.0	1	1.0
DKC1	seed	2235_DKC1_P1P2_ENSG00000130826	742.0	1	0.9677054726420807
DNAJA3	partner	2277_DNAJA3_P1P2_ENSG00000103423	1846.0	2	1.0
DNAJC19	partner	2292_DNAJC19_P1P2_ENSG00000205981	3844.0	2	1.0
DTWD1	seed	2391_DTWD1_P1P2_ENSG00000104047	46.0	0	0.0
EIF2B1	partner	2535_EIF2B1_P1P2_ENSG00000111361	1854.0	2	1.0
EIF2B3	partner	2537_EIF2B3_P1P2_ENSG00000070785	3712.0	2	1.0
EIF2B4	partner	2538_EIF2B4_P1P2_ENSG00000115211	3022.0	2	1.0
EIF2B5	partner	2539_EIF2B5_P1P2_ENSG00000145191	4671.0	2	1.0
ELP1	seed	4077_ELP1_P1P2_ENSG00000070061	19.0	0	0.0
ELP3	seed	2605_ELP3_P1P2_ENSG00000134014	166.0	7	1.0
ELP4	partner	2606_ELP4_P1P2_ENSG00000109911	244.0	7	1.0
ELP5	partner	2607_ELP5_P1P2_ENSG00000170291	457.0	7	0.8977881317145289
EMG1	seed	2622_EMG1_P1P2_ENSG00000126749	471.0	1	0.925979845638794
EXOSC4	partner	2791_EXOSC4_P1P2_ENSG00000178896	2501.0	1	0.5708483910800205
FARSA	partner	2973_FARSA_P1P2_ENSG00000179115	2352.0	2	1.0
FBL	seed	2988_FBL_P1P2_ENSG00000105202	1162.0	1	1.0
FBXL14	partner	2993_FBXL14_P1P2_ENSG00000171823	2152.0	1	1.0
FCF1	partner	3042_FCF1_P1P2_ENSG00000119616	1977.0	1	1.0
FTSJ1	seed	3212_FTSJ1_P1P2_ENSG00000068438	42.0	0	0.0
GEMIN4	seed	3335_GEMIN4_P1P2_ENSG00000179409	729.0	3	0.884556867972674
GEMIN5	partner	3336_GEMIN5_P1P2_ENSG00000082516	2411.0	3	1.0
GFER	partner	3342_GFER_P1P2_ENSG00000127554	2290.0	2	1.0
GFM1	partner	3346_GFM1_P1P2_ENSG00000168827	1423.0	4	1.0
GNL2	partner	3445_GNL2_P1P2_ENSG00000134697	1146.0	1	1.0
HARS	partner	3632_HARS_P1P2_ENSG00000170445	4640.0	2	1.0
HEXIM1	partner	3710_HEXIM1_P1P2_ENSG00000186834	261.0	0	0.0
HNRNPA2B1	seed	3858_HNRNPA2B1_P1P2_ENSG00000122566	105.0	0	0.0
HSD17B10	seed	3948_HSD17B10_P1P2_ENSG00000072506	153.0	0	0.0
HSPA9	partner	3980_HSPA9_P1P2_ENSG00000113013	5448.0	2	1.0
INTS3	partner	4148_INTS3_P1P2_ENSG00000143624	2530.0	3	1.0
INTS9	partner	4154_INTS9_P1P2_ENSG00000104299	629.0	3	0.7978060837749136
ISCU	seed	4206_ISCU_P1P2_ENSG00000136003	61.0	0	0.0
KRR1	partner	4472_KRR1_P1P2_ENSG00000111615	3034.0	1	1.0
LARP7	seed	4520_LARP7_P1P2_ENSG00000174720	65.0	0	0.0
LONP1	partner	4624_LONP1_P1P2_ENSG00000196365	849.0	2	1.0
LSM6	partner	4696_LSM6_P1P2_ENSG00000164167	2104.0	3	0.8643482920002931
METTL1	seed	4997_METTL1_P1P2_ENSG00000037897	97.0	0	0.0
METTL14	seed	4991_METTL14_P1P2_ENSG00000145388	1127.0	5	1.0
METTL16	seed	4994_METTL16_P1P2_ENSG00000127804	491.0	3	0.46549628371188145
METTL3	seed	5004_METTL3_P1P2_ENSG00000165819	822.0	5	1.0
METTL5	seed	5006_METTL5_P1P2_ENSG00000138382	8.0	0	0.0
METTL8	seed	5009_METTL8_P1P2_ENSG00000123600	12.0	0	0.0
MGRN1	partner	5043_MGRN1_P1P2_ENSG00000102858	64.0	8	1.0
MRM1	seed	5192_MRM1_P1P2_ENSG00000278619	273.0	1	0.925979845638794
MRM2	seed	3213_MRM2_P1P2_ENSG00000122687	37.0	0	0.0
MRM3	seed	7402_MRM3_P1P2_ENSG00000171861	7.0	0	0.0
MRPL14	partner	5197_MRPL14_P1P2_ENSG00000180992	238.0	4	0.5765783132659609
MRPL19	partner	5202_MRPL19_P1P2_ENSG00000115364	1051.0	4	1.0
MRPL3	partner	5222_MRPL3_P1P2_ENSG00000114686	815.0	4	1.0
MRPL35	partner	5217_MRPL35_P1P2_ENSG00000132313	1399.0	4	0.9705023544012015
MRPL36	partner	5218_MRPL36_P1P2_ENSG00000171421	1316.0	4	1.0
MRPL38	partner	5220_MRPL38_P1P2_ENSG00000204316	500.0	4	0.6284280442757072
MRPS21	partner	5251_MRPS21_P1P2_ENSG00000266472	687.0	2	1.0
MRPS22	partner	5252_MRPS22_P1P2_ENSG00000175110	527.0	2	0.9879177378558583
MRPS24	partner	5254_MRPS24_P1P2_ENSG00000062582	328.0	2	0.9879177378558583
MRPS28	partner	5258_MRPS28_P1P2_ENSG00000147586	873.0	2	1.0
MRPS34	partner	5263_MRPS34_P1P2_ENSG00000074071	995.0	0	0.0
MRPS35	partner	5264_MRPS35_P1P2_ENSG00000061794	932.0	2	1.0
MRPS6	partner	5267_MRPS6_P1P2_ENSG00000243927	243.0	0	0.0
NAA38	partner	5430_NAA38_P1P2_ENSG00000183011	943.0	3	0.7552562734215958
NAT10	seed	5470_NAT10_P1P2_ENSG00000135372	226.0	1	0.761978231094643
NBAS	partner	5476_NBAS_P1P2_ENSG00000151779	1034.0	9	1.0
NCBP1	partner	5493_NCBP1_P1P2_ENSG00000136937	428.0	1	0.6740074405031492
NCBP2	partner	5494_NCBP2_P1P2_ENSG00000114503	4749.0	1	0.5713262393237718
