seed_gene	rank	partner_gene	pearson_r	partner_AD_count
ADAT3	1	FBXL14	0.5476453075495225	2152.0
ADAT3	2	KRR1	0.5326190341456514	3034.0
ADAT3	3	WDR3	0.5285489091270972	2902.0
ADAT3	4	WDR36	0.5156029640540698	1704.0
ADAT3	5	DDX52	0.5140441580553293	1836.0
ALKBH8	1	ELP5	0.3367484542537127	457.0
ALKBH8	2	VARS	0.3191371527944501	2186.0
ALKBH8	3	TIMM23B	0.30673545189693696	4136.0
ALKBH8	4	FARSA	0.30544413319521074	2352.0
ALKBH8	5	PMPCB	0.3043622594414851	3277.0
BUD23	1	KRR1	0.5973851416801582	3034.0
BUD23	2	WDR3	0.58708132269148	2902.0
BUD23	3	WDR36	0.5869076356457905	1704.0
BUD23	4	FBXL14	0.5830603170667354	2152.0
BUD23	5	FCF1	0.5814124537528389	1977.0
CMTR1	1	PPRC1	0.7334990507254607	1517.0
CMTR1	2	FBXL14	0.6139453914654381	2152.0
CMTR1	3	RRP9	0.5757653603198671	705.0
CMTR1	4	WDR3	0.5482013999234979	2902.0
CMTR1	5	KRR1	0.5463633368786998	3034.0
CMTR2	1	UNCX	0.469962923418365	263.0
CMTR2	2	RBM4	0.45403115298261937	547.0
CMTR2	3	WDFY3	0.3590001401668858	187.0
CMTR2	4	MGRN1	0.33213782270777725	64.0
CMTR2	5	ZBTB44	0.30782327746683996	236.0
CTU1	1	ELP5	0.44128696118415633	457.0
CTU1	2	ELP4	0.43274843274395763	244.0
CTU1	3	RTCB	0.4075810205936085	1454.0
CTU1	4	RTRAF	0.39992281031323385	1289.0
CTU1	5	RARS	0.38052824516453587	3805.0
DCPS	1	SRRT	0.4116052844463971	1799.0
DCPS	2	MRPS34	0.3774919380582526	995.0
DCPS	3	ZBTB4	0.36362497734290716	557.0
DCPS	4	TAF7	0.34308057582496415	862.0
DDX21	1	WDR3	0.7536749560299429	2902.0
DDX21	2	FBXL14	0.7428882064481533	2152.0
DDX21	3	KRR1	0.7427153477037011	3034.0
DDX21	4	WDR36	0.725280065685783	1704.0
DDX21	5	FCF1	0.7207055072892266	1977.0
DIMT1	1	KRR1	0.703848993732807	3034.0
DIMT1	2	WDR3	0.6703845117895143	2902.0
DIMT1	3	TSR2	0.6656549637756255	2669.0
DIMT1	4	FCF1	0.6633551948963314	1977.0
DIMT1	5	RRP12	0.6596245268968314	1726.0
DKC1	1	NOP10	0.6320473617058693	1241.0
DKC1	2	WDR3	0.6294823379330927	2902.0
DKC1	3	FBXL14	0.6217958809112749	2152.0
DKC1	4	KRR1	0.6200921364820399	3034.0
DKC1	5	WDR36	0.6016152850890549	1704.0
DTWD1	1	EIF2B5	0.4433391326723596	4671.0
DTWD1	2	EIF2B4	0.4313893844251395	3022.0
DTWD1	3	DNAJC19	0.4227420611687989	3844.0
DTWD1	4	EIF2B3	0.42184854516129516	3712.0
DTWD1	5	TIMM23B	0.4167159522207545	4136.0
ELP1	1	ELP5	0.33725801528455757	457.0
ELP3	1	ELP5	0.48579252210545315	457.0
ELP3	2	ELP4	0.43357442793786705	244.0
ELP3	3	CTU2	0.40550171636853727	221.0
ELP3	4	RTRAF	0.38206014703683916	1289.0
ELP3	5	RTCB	0.36448416456101124	1454.0
EMG1	1	KRR1	0.5892471510005132	3034.0
EMG1	2	TSR2	0.5665907532608437	2669.0
EMG1	3	WDR3	0.5664331228168094	2902.0
EMG1	4	AATF	0.5631067217398376	1845.0
EMG1	5	DDX47	0.5600543814442523	2050.0
FBL	1	DDX47	0.6895152119109352	2050.0
FBL	2	TSR2	0.6894918023883276	2669.0
FBL	3	RPS19	0.6654054744221708	2130.0
FBL	4	KRR1	0.6620014123997252	3034.0
FBL	5	RPS6	0.6613535032039579	1686.0
GEMIN4	1	GEMIN5	0.686965042164263	2411.0
GEMIN4	2	INTS3	0.6452414772996484	2530.0
GEMIN4	3	DDX20	0.6328303214636601	935.0
GEMIN4	4	SMN2	0.6081581933257714	1618.0
GEMIN4	5	INTS9	0.5311896257237232	629.0
HSD17B10	1	DNAJA3	0.49503117026793897	1846.0
HSD17B10	2	SAMD4B	0.47699743866179856	297.0
HSD17B10	3	ATP11B	0.47609634220559827	309.0
HSD17B10	4	MRPS35	0.4760943173358039	932.0
HSD17B10	5	PNPT1	0.4544299886346459	864.0
ISCU	1	BNIP1	0.38309011599903603	1179.0
ISCU	2	RINT1	0.36686143918795583	895.0
ISCU	3	NBAS	0.3536514003534268	1034.0
ISCU	4	CAMLG	0.33409116101084974	245.0
ISCU	5	TRAPPC11	0.33227848318214653	394.0
LARP7	1	HEXIM1	0.35951482044153715	261.0
METTL1	1	GFER	0.38583527678504903	2290.0
METTL1	2	OXA1L	0.3706472732411122	3470.0
METTL1	3	SLC25A10	0.3593649555070301	1271.0
METTL1	4	RARS2	0.35228451037862873	1171.0
METTL1	5	PMPCB	0.3471985931669698	3277.0
METTL14	1	ZC3H13	0.6690490032735865	1544.0
METTL14	2	CBLL1	0.5151312211688234	550.0
METTL14	3	PSMG1	0.5041757521787703	148.0
METTL14	4	RBM15	0.3947394141256846	650.0
METTL14	5	EXOSC4	0.32700635706733483	2501.0
METTL16	1	LSM6	0.38048776201596124	2104.0
METTL16	2	TTC27	0.3764413664869822	961.0
METTL16	3	PRPF4B	0.37275134619158823	1070.0
METTL16	4	NAA38	0.36949030781690273	943.0
METTL16	5	WBP11	0.36906351922957625	376.0
METTL3	1	ZC3H13	0.6440376054546862	1544.0
METTL3	2	PSMG1	0.5062496197650359	148.0
METTL3	3	CBLL1	0.4931440997530217	550.0
METTL3	4	RBM15	0.38072318728447996	650.0
METTL8	1	KRR1	0.3052886666658142	3034.0
MRM1	1	KRR1	0.6108299822061329	3034.0
MRM1	2	WDR3	0.5878611017601627	2902.0
MRM1	3	UTP23	0.5729822079203761	1386.0
MRM1	4	AATF	0.5708852329692098	1845.0
MRM1	5	RIOK1	0.5701920278614542	1943.0
MRM2	1	MRPL19	0.38254252689833834	1051.0
MRM2	2	MRPL36	0.38022468147412974	1316.0
MRM2	3	GFM1	0.3780582035994104	1423.0
MRM2	4	TARS2	0.37353960942604714	564.0
MRM2	5	PTCD1	0.37084194263557624	493.0
NAT10	1	KRR1	0.48064111826506933	3034.0
NAT10	2	WDR3	0.4606013164268732	2902.0
NAT10	3	TSR2	0.4563788062628002	2669.0
NAT10	4	WDR36	0.45536373272967556	1704.0
NAT10	5	RIOK1	0.4551238470873415	1943.0
NFS1	1	TIMM23B	0.36299865482870874	4136.0
NFS1	2	HSPA9	0.35694393939229246	5448.0
NFS1	3	OXA1L	0.3549023483389127	3470.0
NFS1	4	COX15	0.35306309739731334	1454.0
NFS1	5	PMPCB	0.35032119262878153	3277.0
NOP2	1	RPL24	0.6755872662344241	2109.0
NOP2	2	RPL36	0.6576067856005665	1563.0
NOP2	3	GNL2	0.6458639231755423	1146.0
NOP2	4	NLE1	0.6444374352060075	1291.0
NOP2	5	DDX56	0.6433960711251823	1414.0
NOP58	1	KRR1	0.5958740806935303	3034.0
NOP58	2	TSR2	0.5760115372743326	2669.0
NOP58	3	WDR3	0.575725806273004	2902.0
NOP58	4	RRP12	0.564915109118518	1726.0
NOP58	5	AATF	0.5643610818222909	1845.0
NSUN4	1	AARS2	0.4466421284594946	382.0
NSUN4	2	MRPL36	0.4266405765686171	1316.0
NSUN4	3	GFM1	0.42258299395716137	1423.0
NSUN4	4	TARS2	0.42210729590867246	564.0
NSUN4	5	MRPL14	0.4204206106186397	238.0
RNMT	1	RAMAC	0.7536104971650873	718.0
RNMT	2	NCBP2	0.664751007851429	4749.0
RNMT	3	PPRC1	0.5592420646038448	1517.0
RNMT	4	NCBP1	0.55168061735572	428.0
RNMT	5	FBXL14	0.4765111712504129	2152.0
RPUSD3	1	AARS2	0.3906695373200114	382.0
RPUSD3	2	PTCD1	0.3858470208971777	493.0
RPUSD3	3	TARS2	0.37990222552882924	564.0
RPUSD3	4	MRPL38	0.3777193178052138	500.0
RPUSD3	5	MRPL14	0.3749988642468727	238.0
RPUSD4	1	MRPL19	0.584474936090613	1051.0
RPUSD4	2	MRPL3	0.5812071083401774	815.0
RPUSD4	3	GFM1	0.5808404889254685	1423.0
RPUSD4	4	MRPL36	0.5744626886670914	1316.0
RPUSD4	5	MRPL35	0.5631316550494297	1399.0
TCOF1	1	POLR1C	0.5771419134824337	1405.0
TCOF1	2	POLR1E	0.5724498707278751	1110.0
TCOF1	3	TAF1C	0.5579587373426643	1135.0
TCOF1	4	POLR1B	0.5379426030712182	1792.0
TCOF1	5	NOL11	0.5334001171314404	1344.0
TFB1M	1	MRPS6	0.48104410178590706	243.0
TFB1M	2	MRPS35	0.4792039644021331	932.0
TFB1M	3	MRPS24	0.46413058721287503	328.0
TFB1M	4	DAP3	0.4605715305058616	276.0
TFB1M	5	MRPS22	0.45468360863962515	527.0
TGS1	1	RBM14-RBM4	0.30629037934148723	2545.0
THG1L	1	HARS	0.6539318783904138	4640.0
THG1L	2	OXA1L	0.6125280606366936	3470.0
THG1L	3	GFER	0.609040427149752	2290.0
THG1L	4	EIF2B1	0.60156189505703	1854.0
THG1L	5	PMPCB	0.6006641885109864	3277.0
THUMPD1	1	POLR1C	0.5744799374470335	1405.0
THUMPD1	2	POLR1E	0.5700517885596863	1110.0
THUMPD1	3	TAF1C	0.5616072934717494	1135.0
THUMPD1	4	POLR1B	0.5543374108639262	1792.0
THUMPD1	5	NOL11	0.5482972495766729	1344.0
TP53RK	1	GFER	0.5354592548649086	2290.0
TP53RK	2	RTCB	0.5219157486274624	1454.0
TP53RK	3	FARSA	0.5211887008935738	2352.0
TP53RK	4	EIF2B1	0.5189799670907784	1854.0
TP53RK	5	RTRAF	0.5144512310226603	1289.0
TRMT10C	1	DNAJA3	0.5892440143626637	1846.0
TRMT10C	2	MRPS35	0.5868947853773044	932.0
TRMT10C	3	LONP1	0.5679084720183569	849.0
TRMT10C	4	MRPS21	0.5498492117452497	687.0
TRMT10C	5	MRPS28	0.5454175568964102	873.0
TRMT112	1	KRR1	0.6988719562412375	3034.0
TRMT112	2	WDR3	0.6926452394598004	2902.0
TRMT112	3	FBXL14	0.6849506195352126	2152.0
TRMT112	4	DDX52	0.6609405191272395	1836.0
TRMT112	5	AATF	0.6607432626072073	1845.0
TRMT5	1	GFER	0.6177984574496894	2290.0
TRMT5	2	FARSA	0.6083522631161306	2352.0
TRMT5	3	OXA1L	0.6079687390113013	3470.0
TRMT5	4	PMPCB	0.6043913570374665	3277.0
TRMT5	5	HARS	0.6007688085852051	4640.0
URM1	1	ELP5	0.3555447067479925	457.0
VIRMA	1	ZC3H13	0.3607621583472398	1544.0
VIRMA	2	CBLL1	0.3051539311692724	550.0
WTAP	1	ZC3H13	0.3303113786720608	1544.0
WTAP	2	CBLL1	0.3048837986759432	550.0
