gene	UMAP1	UMAP2	HDBSCAN_cluster	membership_strength
ADAT3	-6.5066214	17.768187	2	0.886954071519238
ALKBH5	6.5730205	-1.3998756	0	0.0
ALKBH8	6.028489	-3.3833678	1	0.8704075548722235
BUD23	-6.1437836	17.26357	2	1.0
CMTR1	-6.367142	17.702433	2	0.8646640961791432
CMTR2	7.5105915	0.31782594	1	0.7352426359338045
CTU1	5.767498	-3.146192	1	0.8704075548722235
DCP2	7.023762	0.6323461	1	0.7394461082207603
DCPS	8.30005	-1.738581	0	0.0
DDX21	-6.788709	17.364666	2	1.0
DIMT1	-6.964692	17.08633	2	1.0
DKC1	-6.287036	17.441359	2	1.0
DTWD1	5.776143	-2.1473248	1	0.7795764132592957
ELP1	6.557484	-3.3861017	1	0.7973467517343539
ELP3	5.8885345	-3.6203861	1	0.8704075548722235
EMG1	-6.763152	16.947145	2	0.9665185265697768
FBL	-7.405216	16.772633	2	0.9793204189560438
FTSJ1	7.217633	-3.8568645	1	0.7588027345597148
GEMIN4	5.6606126	-2.8879251	1	0.8455334334712221
HNRNPA2B1	7.6632934	-0.6281539	0	0.0
HSD17B10	6.2221203	-4.582628	1	0.9906639872169521
ISCU	6.2527657	-2.1139746	1	0.7881853108314429
LARP7	8.152128	-2.1688626	0	0.0
METTL1	6.157117	-4.0255594	1	0.8228634350703078
METTL14	7.317785	-0.7675092	0	0.0
METTL16	6.7842627	0.16095096	1	0.7394461082207603
METTL3	7.675352	-1.2051904	0	0.0
METTL5	8.875502	-0.087242804	0	0.0
METTL8	-6.0687523	16.511585	2	0.5812496720981847
MRM1	-6.5902834	16.851576	2	0.9981646126820152
MRM2	7.11849	-4.4469843	1	0.9551531616382021
MRM3	8.725931	-1.5626851	0	0.0
NAT10	-6.5165935	16.542315	2	0.7942727905302701
NFS1	5.934191	-2.567915	1	0.7931534185759305
NOP2	-7.6419463	17.324438	2	0.8900759281475579
NOP58	-7.084429	16.455376	2	0.9709012316823701
NPM1	8.776441	-0.6969703	0	0.0
NSUN4	7.4090276	-4.5746546	1	0.9974612742935669
NSUN5	7.348654	0.21055429	1	0.7394461082207603
OSGEP	6.668882	-3.1135385	0	0.0
PUS1	9.138227	-0.36191547	0	0.0
RNMT	-6.5745773	18.088137	2	0.7964002250647481
RPUSD1	8.0175085	0.105303496	0	0.0
RPUSD3	7.5756354	-4.2555313	1	0.951968513071904
RPUSD4	6.8763385	-4.8642488	1	1.0
TCOF1	-7.3325076	17.717957	2	0.7964002250647481
TFB1M	6.7234654	-4.541054	1	0.9871163636922796
TGS1	8.266759	-2.3764055	0	0.0
THG1L	5.645362	-4.4844565	1	1.0
THUMPD1	-7.5136952	17.599762	2	0.8900759281475579
THUMPD3	8.761878	-2.1204016	0	0.0
TP53RK	5.576447	-4.108269	1	1.0
TPRKB	6.888443	-0.30805504	1	0.7394461082207603
TRMT10C	6.188455	-4.9162655	1	1.0
TRMT112	-7.2473745	16.86179	2	1.0
TRMT2B	7.9514503	-2.6760874	0	0.0
TRMT5	5.793389	-4.6957717	1	1.0
TRMT61A	6.660443	-1.921549	0	0.0
TRMU	8.255926	-0.817896	0	0.0
TSR3	8.024675	-0.2358866	0	0.0
URM1	5.5085216	-3.4259343	1	0.8704075548722235
VIRMA	7.675071	-1.3898492	0	0.0
WDR4	8.580978	-0.027057813	0	0.0
WTAP	7.282145	-1.1737357	0	0.0
YBX1	8.138534	0.27179676	0	0.0
