gene	UMAP1	UMAP2	deepSplit_2_module	deepSplit_4_module
ADAT3	-6.5066214	17.768187	1	2
ALKBH5	6.5730205	-1.3998756	3	6
ALKBH8	6.028489	-3.3833678	2	3
BUD23	-6.1437836	17.26357	1	2
CMTR1	-6.367142	17.702433	1	2
CMTR2	7.5105915	0.31782594	3	7
CTU1	5.767498	-3.146192	2	3
DCP2	7.023762	0.6323461	3	7
DCPS	8.30005	-1.738581	3	8
DDX21	-6.788709	17.364666	1	2
DIMT1	-6.964692	17.08633	1	2
DKC1	-6.287036	17.441359	1	2
DTWD1	5.776143	-2.1473248	2	4
ELP1	6.557484	-3.3861017	2	3
ELP3	5.8885345	-3.6203861	2	3
EMG1	-6.763152	16.947145	1	2
FBL	-7.405216	16.772633	1	1
FTSJ1	7.217633	-3.8568645	2	4
GEMIN4	5.6606126	-2.8879251	2	3
HNRNPA2B1	7.6632934	-0.6281539	3	6
HSD17B10	6.2221203	-4.582628	2	5
ISCU	6.2527657	-2.1139746	2	4
LARP7	8.152128	-2.1688626	3	8
METTL1	6.157117	-4.0255594	2	4
METTL14	7.317785	-0.7675092	3	6
METTL16	6.7842627	0.16095096	3	7
METTL3	7.675352	-1.2051904	3	6
METTL5	8.875502	-0.087242804	3	6
METTL8	-6.0687523	16.511585	3	7
MRM1	-6.5902834	16.851576	1	2
MRM2	7.11849	-4.4469843	2	5
MRM3	8.725931	-1.5626851	3	8
NAT10	-6.5165935	16.542315	1	1
NFS1	5.934191	-2.567915	2	4
NOP2	-7.6419463	17.324438	1	1
NOP58	-7.084429	16.455376	1	2
NPM1	8.776441	-0.6969703	3	6
NSUN4	7.4090276	-4.5746546	2	5
NSUN5	7.348654	0.21055429	3	7
OSGEP	6.668882	-3.1135385	2	4
PUS1	9.138227	-0.36191547	3	6
RNMT	-6.5745773	18.088137	1	2
RPUSD1	8.0175085	0.105303496	3	6
RPUSD3	7.5756354	-4.2555313	2	5
RPUSD4	6.8763385	-4.8642488	2	5
TCOF1	-7.3325076	17.717957	1	1
TFB1M	6.7234654	-4.541054	2	5
TGS1	8.266759	-2.3764055	3	8
THG1L	5.645362	-4.4844565	2	5
THUMPD1	-7.5136952	17.599762	1	1
THUMPD3	8.761878	-2.1204016	3	8
TP53RK	5.576447	-4.108269	2	5
TPRKB	6.888443	-0.30805504	3	7
TRMT10C	6.188455	-4.9162655	2	5
TRMT112	-7.2473745	16.86179	1	2
TRMT2B	7.9514503	-2.6760874	3	8
TRMT5	5.793389	-4.6957717	2	5
TRMT61A	6.660443	-1.921549	3	6
TRMU	8.255926	-0.817896	3	6
TSR3	8.024675	-0.2358866	3	6
URM1	5.5085216	-3.4259343	2	3
VIRMA	7.675071	-1.3898492	3	6
WDR4	8.580978	-0.027057813	3	6
WTAP	7.282145	-1.1737357	3	6
YBX1	8.138534	0.27179676	3	7
