cluster	term	term_clean	overlap	cluster_size	term_size	p	fold	hit_genes	BH_FDR
1	GOBP_TRNA_MODIFICATION	Trna Modification	13	21	24	0.004759963511688631	1.6765873015873016	ALKBH8;CTU1;DTWD1;ELP1;ELP3;FTSJ1;HSD17B10;METTL1;RPUSD4;THG1L;TRMT10C;TRMT5;URM1	0.106573933798194
1	GOBP_TRNA_METABOLIC_PROCESS	Trna Metabolic Process	14	21	27	0.005077422365000318	1.6049382716049385	ALKBH8;CTU1;DTWD1;ELP1;ELP3;FTSJ1;HSD17B10;METTL1;RPUSD4;THG1L;TP53RK;TRMT10C;TRMT5;URM1	0.106573933798194
1	GOBP_TRNA_PROCESSING	Trna Processing	14	21	27	0.005077422365000318	1.6049382716049385	ALKBH8;CTU1;DTWD1;ELP1;ELP3;FTSJ1;HSD17B10;METTL1;RPUSD4;THG1L;TP53RK;TRMT10C;TRMT5;URM1	0.106573933798194
1	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Mitochondrial Gene Expression	6	21	8	0.011224345400984501	2.321428571428571	HSD17B10;RPUSD3;RPUSD4;TFB1M;TRMT10C;TRMT5	0.11084041083472194
1	GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	Mitochondrial Rna Metabolic Process	6	21	8	0.011224345400984501	2.321428571428571	HSD17B10;NSUN4;RPUSD4;TFB1M;TRMT10C;TRMT5	0.11084041083472194
1	GOBP_MITOCHONDRIAL_RNA_MODIFICATION	Mitochondrial Rna Modification	5	21	7	0.031247263680219958	2.2108843537414966	HSD17B10;NSUN4;RPUSD4;TRMT10C;TRMT5	0.22386733849867493
1	GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	Trna Wobble Uridine Modification	5	21	7	0.031247263680219958	2.2108843537414966	ALKBH8;CTU1;ELP1;ELP3;URM1	0.22386733849867493
1	GOBP_TRNA_WOBBLE_BASE_MODIFICATION	Trna Wobble Base Modification	5	21	8	0.06461879414561238	1.9345238095238093	ALKBH8;CTU1;ELP1;ELP3;URM1	0.2944745548735362
2	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	12	17	25	0.0021113400404509926	1.835294117647059	BUD23;DDX21;DIMT1;DKC1;EMG1;FBL;MRM1;NAT10;NOP2;NOP58;TCOF1;TRMT112	0.106573933798194
2	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	12	17	26	0.0034852804115848408	1.7647058823529411	BUD23;DDX21;DIMT1;DKC1;EMG1;FBL;MRM1;NAT10;NOP2;NOP58;TCOF1;TRMT112	0.106573933798194
2	GOBP_MATURATION_OF_SSU_RRNA	Maturation Of Ssu Rrna	5	17	6	0.0037458135025559658	3.186274509803922	EMG1;FBL;NAT10;NOP58;TRMT112	0.106573933798194
2	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	12	17	27	0.005561456972409319	1.6993464052287581	BUD23;DDX21;DIMT1;DKC1;EMG1;FBL;MRM1;NAT10;NOP2;NOP58;TCOF1;TRMT112	0.106573933798194
2	GOBP_RRNA_PROCESSING	Rrna Processing	11	17	24	0.007240717426017358	1.7524509803921569	BUD23;DDX21;DIMT1;DKC1;EMG1;FBL;MRM1;NAT10;NOP2;NOP58;TRMT112	0.106573933798194
2	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Ribosomal Small Subunit Biogenesis	6	17	9	0.007419704251773	2.549019607843137	DIMT1;EMG1;FBL;NAT10;NOP58;TRMT112	0.106573933798194
2	GOBP_RRNA_MODIFICATION	Rrna Modification	10	17	22	0.013826338857123656	1.7379679144385027	BUD23;DIMT1;DKC1;EMG1;FBL;MRM1;NAT10;NOP2;NOP58;TRMT112	0.1285036199662081
2	GOBP_RRNA_METHYLATION	Rrna Methylation	8	17	16	0.017320331759512878	1.9117647058823528	BUD23;DIMT1;EMG1;FBL;MRM1;NOP2;NOP58;TRMT112	0.1520340232223908
3	GOBP_RNA_SPLICING	Rna Splicing	4	4	14	0.001478494623655914	4.642857142857142	METTL14;METTL3;VIRMA;WTAP	0.106573933798194
3	GOBP_MRNA_MODIFICATION	Mrna Modification	3	4	9	0.0071339950372208425	5.416666666666666	METTL14;METTL3;WTAP	0.106573933798194
3	GOBP_MRNA_PROCESSING	Mrna Processing	4	4	21	0.008839950372208439	3.095238095238095	METTL14;METTL3;VIRMA;WTAP	0.11084041083472194
3	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	Regulation Of Mrna Metabolic Process	3	4	10	0.010058489897199575	4.875	METTL14;METTL3;WTAP	0.11084041083472194
3	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Rna Splicing Via Transesterification Reactions	3	4	10	0.010058489897199575	4.875	METTL14;METTL3;WTAP	0.11084041083472194
3	GOBP_MRNA_METABOLIC_PROCESS	Mrna Metabolic Process	4	4	26	0.02208141321044547	2.5	METTL14;METTL3;VIRMA;WTAP	0.18362438353949392
3	GOBP_DNA_DAMAGE_RESPONSE	Dna Damage Response	2	4	5	0.027036807278742764	6.5	METTL14;METTL3	0.21359077750206784
3	GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	Negative Regulation Of Catabolic Process	2	4	6	0.039672692898499354	5.416666666666666	METTL14;METTL3	0.22386733849867493
4	GOBP_RRNA_BASE_METHYLATION	Rrna Base Methylation	2	4	6	0.039672692898499354	5.416666666666666	METTL16;NSUN5	0.22386733849867493
4	GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	Positive Regulation Of Catabolic Process	2	4	7	0.0543217535153019	4.642857142857142	DCP2;METTL16	0.26821365798180313
4	GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	Positive Regulation Of Mrna Metabolic Process	2	4	7	0.0543217535153019	4.642857142857142	DCP2;METTL16	0.26821365798180313
4	GOBP_MRNA_CATABOLIC_PROCESS	Mrna Catabolic Process	2	4	8	0.07082299421009099	4.0625	DCP2;METTL16	0.2944745548735362
4	GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	Regulation Of Mrna Catabolic Process	2	4	8	0.07082299421009099	4.0625	DCP2;METTL16	0.2944745548735362
4	GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	Post Transcriptional Regulation Of Gene Expression	3	4	20	0.0829271534916696	2.4375	DCP2;METTL16;NSUN5	0.3057638364440609
4	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	Negative Regulation Of Gene Expression	2	4	9	0.08901985111662532	3.6111111111111107	DCP2;METTL16	0.3057638364440609
4	GOBP_REGULATION_OF_CATABOLIC_PROCESS	Regulation Of Catabolic Process	2	4	10	0.10876019142148176	3.25	DCP2;METTL16	0.3257717065320752
