gene	UMAP1	UMAP2	UMAP3	deepSplit_2_module
ADAT3	12.867286	-3.4229767	-0.84259003	1
ALKBH5	0.24423729	5.080789	-0.60611653	3
ALKBH8	-1.4049163	4.5845385	-1.2950109	2
BUD23	12.865034	-3.684754	-0.6844488	1
CMTR1	12.874741	-3.0943751	-0.8809302	1
CMTR2	1.8470187	5.062025	-0.059968375	3
CTU1	-1.6214867	4.726598	-1.0612744	2
DCP2	1.5955144	5.064516	0.4556538	3
DCPS	1.0556587	5.02832	-1.8684945	3
DDX21	13.284665	-3.7961705	-0.33127272	1
DIMT1	12.8209095	-3.7150698	-0.17257759	1
DKC1	13.294208	-3.3725626	-0.40657052	1
DTWD1	-0.40733477	4.5585747	-0.46604285	2
ELP1	-1.3558669	5.1458135	-1.8015541	2
ELP3	-1.8038685	4.8093944	-1.748331	2
EMG1	12.496043	-3.4537635	0.056900073	1
FBL	12.648078	-3.2620585	0.3046315	1
FTSJ1	-0.88295597	4.6002226	-2.4630647	2
GEMIN4	-1.1253679	4.719248	-0.9529596	2
HNRNPA2B1	0.7087149	5.363752	-0.8478416	3
HSD17B10	-1.9051147	3.966681	-2.079604	2
ISCU	-0.43408012	4.650702	-0.8208178	2
LARP7	0.51051843	5.8502145	-2.1973755	3
METTL1	-1.2371917	3.9588	-1.7515628	2
METTL14	1.6853123	4.5815187	-0.9557927	3
METTL16	1.359299	4.7072268	0.19595835	3
METTL3	1.6464152	4.421454	-1.3820652	3
METTL5	1.8716316	5.80434	-0.9071895	3
METTL8	11.623137	-3.0644777	-0.39386758	3
MRM1	13.019775	-3.25544	-0.039530367	1
MRM2	-1.080311	3.8896601	-2.5699396	2
MRM3	1.2279308	5.414757	-1.8454484	3
NAT10	11.979485	-3.3505769	-0.27138227	1
NFS1	-0.78902644	4.2742205	-0.89625144	2
NOP2	12.332621	-2.8112085	0.0054873903	1
NOP58	12.1813965	-3.58516	0.07364315	1
NPM1	1.9442711	5.480023	-1.2608048	3
NSUN4	-1.2791785	3.8073306	-2.8002877	2
NSUN5	1.2574058	5.3180523	0.20454815	3
OSGEP	-0.81305337	4.9880004	-1.7490418	2
PUS1	1.5695232	6.082241	-1.224631	3
RNMT	12.655312	-2.6774075	-0.9388521	1
RPUSD1	1.4184828	5.8091154	-0.20088735	3
RPUSD3	-0.7557379	3.9744298	-2.6918714	2
RPUSD4	-1.3573091	3.573367	-2.4958158	2
TCOF1	12.365633	-2.8698173	-0.6696792	1
TFB1M	-1.6694666	3.9692886	-2.4801908	2
TGS1	0.48011327	5.46603	-1.9721481	3
THG1L	-1.7059969	3.5865319	-1.6470845	2
THUMPD1	12.190056	-2.5995862	-0.37664786	1
THUMPD3	0.7502072	5.7010574	-2.0474803	3
TP53RK	-1.5371791	4.1387367	-1.4026728	2
TPRKB	0.9008941	4.805296	-0.12675788	3
TRMT10C	-1.8519609	3.551982	-2.2674391	2
TRMT112	13.053682	-3.7443445	0.25122893	1
TRMT2B	0.15704386	5.162009	-2.1642432	3
TRMT5	-2.041409	3.8389103	-1.6320994	2
TRMT61A	-0.023449142	5.1089416	-0.8968661	3
TRMU	1.1940064	5.4137	-0.9539328	3
TSR3	1.4181868	5.39281	-0.50849473	3
URM1	-1.5119213	4.9937863	-1.3425559	2
VIRMA	1.7268476	4.1886263	-1.2372712	3
WDR4	1.3233889	6.007744	-0.8013669	3
WTAP	1.8964211	4.4954276	-1.4814713	3
YBX1	1.8781676	5.3743877	-0.31672883	3
